product_sku,total_ordered,product_name,stock_level,restocking_lead_time,sentiment_score,sentiment_magnitude,ratio
GGOEGAAX0081,42,Recycled Paper Journal Set,740,5,0.3,0.5,0.056756757
GGOENEBQ084699,7, Learning Thermostat 3rd Gen-USA - White,1142,5,0.3,0.5,0.006129597
GGOEGAAX0325,6, Men's Short Sleeve Hero Tee Charcoal,104,12,0,0.5,0.057692308
GGOEYDHJ056099,50,22 oz  Bottle Infuser,1944,7,0.3,0.5,0.025720165
GGOEADHH073999,167,Android 17oz Stainless Steel Sport Bottle,283,8,0.3,0.5,0.590106007
GGOEWAEA083899,1, Dress Socks,20,6,0.3,0.5,0.05
GGOEGAAJ032313,6, Men's Short Sleeve Hero Tee Charcoal,61,8,0.3,0.5,0.098360656
GGOEGAAB033815,9, Men's Vintage Badge Tee Black,578,13,0.3,0.5,0.015570934
GGOEGPJC203399,14,Crunch Noise Dog Toy,352,9,0.7,0.5,0.039772727
GGOEGALB034113,16, Women's Vintage Hero Tee Black,153,14,0.3,0.5,0.104575163
GGOEGHGH019699,14, Sunglasses,2086,6,0.5,0.5,0.006711409
GGOENEBJ079499,94, Learning Thermostat 3rd Gen-USA - Stainless Steel,2525,7,0.3,0.5,0.037227723
GGOEGOBG023599,3,Colored Pencil Set,367,13,0.3,0.5,0.008174387
GGOEGAAX0620,20, Infant Short Sleeve Tee Green,52,7,0.3,0.5,0.384615385
GGOEGDWR015799,5,Red Shine 15 oz Mug,1417,20,0.3,0.5,0.003528582
GGOEGODR017799,39,Recycled Mouse Pad,1756,39,0.3,1,0.022209567
GGOEGBJC014399,3, Tote Bag,155,6,0.6,1,0.019354839
GGOENEBQ078999,112, Cam Outdoor Security Camera - USA,4683,10,0.6,1,0.023916293
GGOEGAEQ027913,2, Women's Short Sleeve Hero Tee White,65,7,0.6,1,0.030769231
GGOEGAAX0795,7,25L Classic Rucksack,114,6,0.7,1,0.061403509
GGOEGGCX056199,1,Gift Card- $100.00,77,10,0.6,1,0.012987013
GGOEGALB034115,4, Women's Vintage Hero Tee Black,213,9,0.6,1,0.018779343
GGOEGHGT019599,14, Sunglasses,376,8,0.5,1,0.037234043
GGOENEBD084799,10, Learning Thermostat 3rd Gen-USA - Copper,564,9,0.7,1,0.017730496
GGOEGADB056915,3, Men's Performance Full Zip Jacket Black,70,18,0.6,1,0.042857143
GGOEGAAX0617,6,Android Onesie Gold,53,6,0.6,1,0.113207547
GGOEGAAX0626,2,Android Infant Short Sleeve Tee Pink,21,7,0.6,1,0.095238095
GGOEGAAX0320,1,Android Men's Short Sleeve Hero Tee White,38,11,-0.1,1,0.026315789
GGOEGAEJ028013,8, Women's Short Sleeve Hero Tee Grey,117,6,0.6,1,0.068376068
GGOEGAAX0289,1, Women's Short Sleeve Hero Dark Grey,50,5,0.6,1.5,0.02
GGOEGAAX0338,1, Men's Vintage Badge Tee Black,677,8,0.5,1.5,0.001477105
GGOEGALB036516,4, Women's Scoop Neck Tee Black,23,5,0.1,0.3,0.173913043
GGOEAAAP081217,2,Android Men's Take Charge Short Sleeve Tee Purple,7,15,0.1,0.3,0.285714286
GGOEGCMB020932,5,Suitcase Organizer Cubes,342,7,0.8,0.3,0.014619883
GGOEGAAL010614,12, Men's 100% Cotton Short Sleeve Hero Tee Navy,74,15,0.1,0.3,0.162162162
GGOEGOCC077999,290, Spiral Journal with Pen,4668,10,0.1,0.3,0.062125107
GGOEGCBB074199,2, Car Clip Phone Holder,205,5,0.2,0.3,0.009756098
GGOEYAAB031814,1, Men's Short Sleeve Hero Tee Black,40,14,0.1,0.3,0.025
GGOENEBQ079099,24, Protect Smoke + CO White Battery Alarm-USA,325,11,0.1,0.3,0.073846154
GGOEGAAX0318,8, Men's Short Sleeve Hero Tee Black,275,6,-0.1,0.3,0.029090909
GGOEGAEJ028115,1, Women's Short Sleeve Badge Tee Grey,13,8,0.1,0.3,0.076923077
GGOEAAWJ062548,7,Android Infant Short Sleeve Tee Pewter,2,14,0.1,0.3,3.5
GGOEGAEJ031315,18, Tri-blend Hoodie Grey,34,12,0.2,0.3,0.529411765
GGOENEBB078899,102, Cam Indoor Security Camera - USA,2615,42,0.2,0.3,0.039005736
GGOEGPJC019099,52,"7"" Dog Frisbee",154,11,0.8,0.3,0.337662338
GGOEGHPB003410,1, Snapback Hat Black,105,3,0.1,0.3,0.00952381
GGOEGALQ034213,5, Women's Vintage Hero Tee White,94,6,0.2,0.3,0.053191489
GGOEGOAQ020099,22,Four Color Retractable Pen,2450,22,0.2,0.3,0.008979592
GGOEYFKQ020699,30, Custom Decals,4536,14,0.1,0.3,0.006613757
GGOEGOAB022499,105,Satin Black Ballpoint Pen,477,2,0.1,0.3,0.220125786
GGOEGKAA019299,34,Switch Tone Color Crayon Pen,388,12,0.2,0.3,0.087628866
GGOEGAYB068056,3, Youth Baseball Raglan Heather/Black,2,13,0.3,0.6,1.5
GGOEGAAJ032317,2, Men's Short Sleeve Hero Tee Charcoal,25,8,0.3,0.6,0.08
GGOEGHPJ080310,189, Blackout Cap,415,6,0.3,0.6,0.455421687
GGOEGFSR022099,3, Kick Ball,723,5,0.6,0.6,0.004149378
GGOEYHPB072210,9, Twill Cap,1997,2,0.3,0.6,0.00450676
GGOEGAAB010515,1, Men's 100% Cotton Short Sleeve Hero Tee Black,193,19,0.4,0.6,0.005181347
GGOEGADJ056814,4, Men's Watershed Full Zip Hoodie Grey,57,9,0.3,0.6,0.070175439
GGOEYAAJ033014,30, Men's Long & Lean Tee Charcoal,42,11,0.4,0.6,0.714285714
GGOEGAAX0279,4, Women's Short Sleeve Hero Tee White,41,5,0.1,0.6,0.097560976
GGOEAFKQ020499,19,8 pc Android Sticker Sheet,613,12,0.7,1.2,0.030995106
GGOEGAAJ032816,22, Men's Long & Lean Tee Charcoal,309,16,0.8,1.2,0.071197411
GGOEGOLC013299,69,Spiral Notebook and Pen Set,6708,11,0.8,1.2,0.010286225
GGOEGFYQ016599,253,Foam Can and Bottle Cooler,4495,10,0.7,1.2,0.056284761
GGOEGOAQ018099,3,Pen Pencil & Highlighter Set,1939,5,0.7,1.2,0.001547189
GGOEGFKA022299,53,Keyboard DOT Sticker,189,9,0.7,1.2,0.28042328
GGOEGAAX0309,1,Android Women's Long Sleeve Blended Cardigan Grey,28,18,0.4,1.2,0.035714286
GGOEGBPB021199,13, Slim Utility Travel Bag,516,12,0.8,1.2,0.025193798
GGOEGAAC035014,2, Men's Bayside Graphic Tee,9,14,0.7,1.2,0.222222222
GGOEGBPB081999,1,UpCycled Bike Saddle Bag,79,12,0.2,1.2,0.012658228
GGOEGADJ056815,2, Men's Watershed Full Zip Hoodie Grey,105,17,0.8,1.2,0.019047619
GGOEGAAX0591,3, Men's Short Sleeve Performance Badge Tee Pewter,29,15,0.6,1.7,0.103448276
GGOEGOAQ012899,456,Ballpoint LED Light Pen,2098,11,0.4,0.7,0.217349857
GGOEYAAJ032514,2, Men's Short Sleeve Hero Tee Charcoal,41,12,0.4,0.7,0.048780488
GGOEGAAX0781,82, Leather Journal,181,8,0.4,0.7,0.453038674
GGOEGAAX0625,3,Android Infant Short Sleeve Tee Pewter,23,16,0.4,0.7,0.130434783
GGOEGFKQ020399,13, Laptop and Cell Phone Stickers,1516,3,0.4,0.7,0.008575198
GGOEGHPB080410,7, 5-Panel Snapback Cap,219,8,0.3,0.7,0.03196347
GGOEGGOA017399,3,Maze Pen,324,9,0.4,0.7,0.009259259
GGOEGAYQ069056,1, Youth Short Sleeve Tee White,14,6,0.4,0.7,0.071428571
GGOEGAAX0341,6, Women's Vintage Hero Tee Black,332,19,0.1,0.7,0.018072289
GGOEAAEJ033413,8,Android Men's Long Sleeve Badge Crew Tee Heather,43,14,0.4,0.7,0.186046512
GGOEGAAQ010415,11, Men's 100% Cotton Short Sleeve Hero Tee White,335,9,0.4,0.7,0.032835821
GGOEGDHR018499,16, 22 oz Water Bottle,1482,9,0.4,0.7,0.010796221
GGOEGAAQ010414,17, Men's 100% Cotton Short Sleeve Hero Tee White,186,16,0.9,1.4,0.091397849
GGOEGOAB021499,48,Metal Texture Roller Pen,775,3,0.9,1.4,0.061935484
GGOEGAAX0313,11, Tri-blend Hoodie Grey,101,15,0.5,1.4,0.108910891
GGOEGAAX0351,2, Men's Vintage Henley,133,9,-0.5,1.4,0.015037594
GGOEGEHQ024099,25,Clip-on Compact Charger,1468,11,-0.3,1.4,0.017029973
GGOEGOCR017899,30,Recycled Paper Journal Set,4975,13,0.9,1.4,0.006030151
GGOEGOAR013099,2, Stylus Pen w/ LED Light,2164,39,0.9,1.4,0.000924214
GGOEYAAJ032515,5, Men's Short Sleeve Hero Tee Charcoal,33,18,0.9,1.4,0.151515152
GGOEGESC014099,16,Rocket Flashlight,242,11,0.2,1.4,0.066115702
GGOEGOLC014299,2, Metallic Notebook Set,610,5,0,0.1,0.003278689
GGOEGBRA037499,5,Waterproof Backpack,230,10,0,0.1,0.02173913
GGOEGFAQ016699,11,Bottle Opener Clip,381,10,0.6,0.1,0.028871391
GGOEWFKA083199,5, Mood Original Window Decal,66,8,0,0.1,0.075757576
GGOEGBRJ037399,11, Rucksack,228,5,0,0.1,0.048245614
GGOEGAAR010715,16, Men's 100% Cotton Short Sleeve Hero Tee Red,146,14,0,0.1,0.109589041
GGOEGALQ036616,7, Women's Scoop Neck Tee White,27,14,0,0.1,0.259259259
GGOEGHGR019499,26, Sunglasses,1195,5,0.4,0.2,0.021757322
GGOEGAXQ067155,4, Toddler Short Sleeve Tee White,9,15,0.1,0.2,0.444444444
GGOEGAYQ069025,5, Youth Short Sleeve Tee White,11,7,0.1,0.2,0.454545455
GGOEGAAL010616,19, Men's 100% Cotton Short Sleeve Hero Tee Navy,50,5,0.1,0.2,0.38
GGOEGAEJ028114,1, Women's Short Sleeve Badge Tee Grey,21,12,0.1,0.2,0.047619048
GGOENEBQ079199,42, Protect Smoke + CO White Wired Alarm-USA,1361,13,0,0.2,0.030859662
GGOEGALL074614,6, Women's Short Sleeve Badge Tee Navy,31,19,0,0.2,0.193548387
GGOEGOCR078499,3, Spiral Leather Journal,449,9,0.1,0.2,0.006681514
GGOEGOBC078699,6, Luggage Tag,713,13,0.1,0.2,0.008415147
GGOEGFQB013799,5,Compact Selfie Stick,297,7,0.3,0.2,0.016835017
GGOEGAAX0330,20, Men's Long & Lean Tee Charcoal,43,12,-0.2,0.2,0.465116279
GGOEGAAX0105,4, Men's 100% Cotton Short Sleeve Hero Tee Black,105,19,-0.2,0.2,0.038095238
GGOEGBJL013999,62, Canvas Tote Natural/Navy,602,3,0,0.2,0.102990033
GGOEGCBQ016499,60,SPF-15 Slim & Slender Lip Balm,4069,31,0.7,0.2,0.014745638
GGOEGAAX0098,104,"7"" Dog Frisbee",376,5,-0.6,0.2,0.276595745
GGOEGAAX0690,7, Youth Short Sleeve Tee White,31,19,0,0.2,0.225806452
GGOEGBRB013899,3, Laptop Backpack,178,16,0.1,0.2,0.016853933
GGOEGEHQ071199,2," High Capacity 10,400mAh Charger",84,17,-0.2,0.2,0.023809524
